title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,300518,
"Resident Evil: Apocalypse",movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,216525,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,349832,
Lammbock,movie,"Comedy, Crime",2001,tt0258760,7.2,12187,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,346494,
"Secret Window",movie,"Drama, Mystery, Thriller",2004,tt0363988,6.5,216590,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,262697,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110579,
"Primal Fear",movie,"Crime, Drama, Mystery",1996,tt0117381,7.7,263719,
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,183522,
"Liar Liar",movie,"Comedy, Fantasy",1997,tt0119528,6.9,351493,
"The People vs. Larry Flynt",movie,"Biography, Drama",1996,tt0117318,7.3,103680,
"Fried Green Tomatoes",movie,Drama,1991,tt0101921,7.7,88007,
"Free Willy",movie,"Adventure, Drama, Family",1993,tt0106965,6.1,86435,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334927,
"Forces of Nature",movie,"Comedy, Romance",1999,tt0141098,5.5,36803,
"The Net",movie,"Action, Crime, Drama",1995,tt0113957,6,77582,
"Freedom Writers",movie,"Biography, Crime, Drama",2007,tt0463998,7.6,89981,
"The Motorcycle Diaries",movie,"Adventure, Biography, Drama",2004,tt0318462,7.7,107201,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111728,
Hostel,movie,Horror,2005,tt0450278,5.9,198976,
"Hostel: Part II",movie,Horror,2007,tt0498353,5.5,99601,
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14422,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,73932,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107584,
